id,label
1,1286
2,1310
3,1321
4,1415
5,1874
6,1877
7,2142
8,2276
9,2418
10,2463
11,2540
12,2681
13,3484
14,3492
15,3506
16,3547
17,3853
18,4434
19,4530
20,4795
21,4948
22,5010
23,5368
24,5407
25,5921
26,6691
27,6816
28,6895
29,6899
30,6901
31,7108
32,7117
33,7253
34,7354
35,7384
36,7688
37,7792
38,7819
39,7889
40,8129
41,8156
42,8202
43,8332
44,8411
45,8642
46,9152
47,9220
48,9241
49,9405
50,9551
51,9614
52,9617
53,9635
54,9683
55,9735
56,Abila Airport
57,Abila Scrapyard
58,Abila Zacharo
59,Ahaggo Museum
60,Albert's Fine Clothing
61,Bean There Done That
62,Brewed Awakenings
63,Brew've Been Served
64,Carlyle Chemical Inc.
65,Chostus Hotel
66,Coffee Cameleon
67,Coffee Shack
68,Daily Dealz
69,Desafio Golf Course
70,Frank's Fuel
71,Frydos Autosupply n' More
72,Gelatogalore
73,General Grocer
74,Guy's Gyros
75,Hallowed Grounds
76,Hippokampos
77,Jack's Magical Beans
78,Kalami Kafenion
79,Katerina?s Caf‚
80,Kronos Mart
81,Kronos Pipe and Irrigation
82,Maximum Iron and Steel
83,Nationwide Refinery
84,Octavio's Office Supplies
85,Ouzeri Elian
86,Roberts and Sons
87,Shoppers' Delight
88,Stewart and Sons Fabrication
89,U-Pump
